course;code_smells_count;bugs_count;vulnerability_count;;;;;;;;;;;;;;;;;;;;;;;
Rock Paper Scissors project;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Scalable Microservices with Kubernetes;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Security Engineer Nanodegree Program - Application Security;38;4;0;;;;;;;;;;;;;;;;;;;;;;;
Self-Driving Car Engineer Nanodegree - CarND Starter Kit;38;4;0;;;;;;;;;;;;;;;;;;;;;;;
Self-Driving Car Engineer Nanodegree - Object Detection in an Urban Environment;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Self-Driving Car Engineer Nanodegree - SDCND : Sensor Fusion and Tracking;95;0;0;;;;;;;;;;;;;;;;;;;;;;;
Self-Driving Car Engineer Nanodegree - Sensor Fusion Exercises;76;0;0;;;;;;;;;;;;;;;;;;;;;;;
Server Deployment, Containerization, and Testing;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Server for Contacts Project;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Spark and Data Lakes course - Exercises;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Supply chain & data auditing;217;18;0;;;;;;;;;;;;;;;;;;;;;;;
TODO App;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Transfer Learning Lab with VGG;13;0;0;;;;;;;;;;;;;;;;;;;;;;;
UdaciMeals Server for Udacity's Front-End Frameworks course;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Udacity 60fps Course;6;0;0;;;;;;;;;;;;;;;;;;;;;;;
Udacity Web Accessibility;95;9;0;;;;;;;;;;;;;;;;;;;;;;;
UdaConnect;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Value-based Methods course;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Web Workers Demo;12;1;0;;;;;;;;;;;;;;;;;;;;;;;
Webpack & Sass in the Front End Developer Nanodegree Program;12;1;0;;;;;;;;;;;;;;;;;;;;;;;
Maven: gerenciamento de dependências e build de aplicações Java;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Acessibilidade web parte 2: componentes acessíveis com um pouco de JavaScript;37;10;0;;;;;;;;;;;;;;;;;;;;;;;
